Filename,vehicleBrand,vehicleModel,vehicleVariant,vehicleType,registrationNumber,productionDate,mileageFromOdometer,vehicleTransmission,fuelType,drivetrain,basePrice,fuelConsumptionCombined,emissionsCO2,companyName,companyLocation,sellerType,locationCity,locationRegion
15371139.html,Nissan,Note,Hatchback,Car,HUG-243,2008,252500,Manual,Petrol,Front wheel,2250,6.6,156,,,Seller,Loviisa,Uusimaa
15368918.html,Kia,Ceed,Station Wagon,Car,BPA-709,2011,232000,Manual,Petrol,Front wheel,4400,6.0,142,Auto-Karhuset Oy,Nokia,Dealer,Nokia,Pirkanmaa
15359618.html,Dacia,Duster,All-terrain SUV,Car,YKH-244,2018,79400,Manual,Petrol,Four wheel,16900,0.0,145,,,Seller,Raasepori,Uusimaa
15368860.html,Volkswagen,Tiguan,All-terrain SUV,Car,GOK-332,2016,220000,Automatic,Diesel,Four wheel,22500,5.7,,,,Seller,Mikkeli,Etelä-Savo
15361004.html,Ford,Mondeo,Station Wagon,Car,MLE-888,2009,463000,Manual,Diesel,Front wheel,2900,0.0,,,,Seller,Kontiolahti,Pohjois-Karjala
15364178.html,Volvo,S80,Sedan,Car,NHF-562,2007,489200,Automatic,Diesel,Front wheel,1500,0.0,,,,Seller,Orivesi,Pirkanmaa
15364002.html,Volkswagen,Golf,Hatchback,Car,KRF-728,2006,162000,Manual,Petrol,Front wheel,4200,0.0,,,,Seller,Pori,Satakunta
15366276.html,Opel,Astra,Hatchback,Car,ZPP-386,2010,101000,Manual,Petrol,Front wheel,5200,0.0,,,,Seller,Valkeakoski,Pirkanmaa
15358337.html,Citroen,C5,Sedan,Car,FKP-563,2012,265968,Automatic,Petrol,Front wheel,2400,6.8,169,,,Seller,Kauhajoki,Etelä-Pohjanmaa
15368746.html,Peugeot,106,Hatchback,Car,AYA-321,1999,146000,Manual,Petrol,Front wheel,1000,0.0,,,,Seller,Janakkala,Kanta-Häme
15372376.html,Audi,Q7,All-terrain SUV,Car,ERU-134,2007,416000,Automatic,Diesel,Four wheel,4299,0.0,,,,Seller,Kauhava,Etelä-Pohjanmaa
15371442.html,Volvo,V50,Station Wagon,Car,IVG-616,2004,222000,Manual,Petrol,Front wheel,3800,8.5,203,Automyynti Blomerus Oy,Orimattila,Dealer,Orimattila,Päijät-Häme
15367814.html,Volvo,S60,Sedan,Car,VTZ-440,2012,296000,Automatic,Diesel,Front wheel,6890,5.4,142,Etelän Autoliike - Mäntsälä,Mäntsälä,Dealer,Mäntsälä,Uusimaa
15372163.html,Toyota,Yaris,Other,Car,NGT-472,2006,330270,Manual,Diesel,Front wheel,1300,0.0,119,,,Seller,Inari,Lappi
15358942.html,Audi,A4,Station Wagon,Car,GJF-808,2006,432000,Manual,Diesel,Front wheel,1600,0.0,,,,Seller,Tampere,Pirkanmaa
15362411.html,Dodge,600,Sedan,Car,NLH-22,1987,71000,Automatic,Petrol,Front wheel,2800,0.0,,,,Seller,Hollola,Päijät-Häme
15363452.html,Skoda,Octavia,Station Wagon,Car,GLB-493,2014,345000,Manual,Diesel,Front wheel,1999,0.0,99,,,Seller,Lappeenranta,Etelä-Karjala
15366580.html,Ford,C-MAX Grand,MPV,Car,FKL-511,2011,245500,Manual,Diesel,Front wheel,3500,6.0,124,,,Seller,Ylistaro,Etelä-Pohjanmaa
15360311.html,Volkswagen,Golf,Station Wagon,Car,VLG-570,2005,652000,Manual,Diesel,Four wheel,1200,0.0,170,,,Seller,Suomusjärvi,Varsinais-Suomi
15371864.html,Volkswagen,Transporter,Long - Low,Van,FBZ-700,1996,352000,Manual,Diesel,Front wheel,1500,0.0,,,,Seller,Pielavesi,Pohjois-Savo
15361203.html,Volvo,244,Sedan,Car,TTC-402,1983,204000,Manual,Petrol,Rear wheel,3000,0.0,,,,Seller,Rauma,Satakunta
15360484.html,Volkswagen,Golf,Station Wagon,Car,FIK-450,2008,33000,Manual,Petrol,Front wheel,8500,0.0,176,,,Seller,Jyväskylä,Keski-Suomi
15361037.html,Toyota,Land Cruiser,All-terrain SUV,Car,NGT-480,2006,573000,Manual,Diesel,Four wheel,8800,10.0,,,,Seller,Helsinki,Uusimaa
15365750.html,Volvo,V70,Station Wagon,Car,VXY-153,2009,422200,Manual,Diesel,Front wheel,2900,0.0,157,,,Seller,Nurmijärvi,Uusimaa
15361564.html,Toyota,Corolla,Hatchback,Car,TFY-131,1992,332200,Manual,Petrol,Front wheel,1000,0.0,,,,Seller,Urjala,Pirkanmaa
15363814.html,Audi,S3,Hatchback,Car,IPI-122,2002,400234,Manual,Petrol,Four wheel,1800,0.0,,,,Seller,Kokkola,Keski-Pohjanmaa
15373137.html,BMW,523,Sedan,Car,MYI-980,2000,381000,Manual,Petrol,Rear wheel,1500,0.0,225,,,Seller,Nivala,Pohjois-Pohjanmaa
15364725.html,Cadillac,CTS,Sedan,Car,CNL-416,2012,224280,Automatic,Petrol,Rear wheel,3450,0.0,,,,Seller,Helsinki,Uusimaa
15359273.html,Mitsubishi,L300,Other,Car,JHI-333,1990,216000,Manual,Diesel,Rear wheel,1280,0.0,,,,Seller,Asikkala,Päijät-Häme
15363473.html,Chevrolet,Cruze,Sedan,Car,IJL-290,2010,234900,Manual,Diesel,Front wheel,2300,5.5,149,,,Seller,Kotka,Kymenlaakso
15372971.html,BMW,330,Sedan,Car,LNP-818,2013,218000,Automatic,Diesel,Rear wheel,14000,4.9,129,,,Seller,Porvoo,Uusimaa
15363052.html,Toyota,Corolla,Station Wagon,Car,RXI-919,2003,192000,Automatic,Petrol,Front wheel,5990,7.9,190,AutoViisikko,Lempäälä,Dealer,Lempäälä,Pirkanmaa
15365162.html,MINI,Cooper,Hatchback,Car,VYU-638,2007,211000,Manual,Petrol,Front wheel,2600,0.0,,,,Seller,Kokkola,Keski-Pohjanmaa
15363221.html,Opel,Corsa,Hatchback,Car,CKF-719,2016,259000,Manual,Diesel,Front wheel,3850,0.0,100,Nokian Autokulma,Nokia,Dealer,Nokia,Pirkanmaa
15365712.html,Nissan,Primera,Hatchback,Car,NFI-430,2003,115000,Manual,Petrol,Front wheel,1500,7.0,173,,,Seller,Espoo,Uusimaa
15358467.html,Volkswagen,Golf,Station Wagon,Car,JIK-643,2011,260000,Automatic,Petrol,Front wheel,2990,6.0,139,SJ auto Oy,Orimattila,Dealer,Orimattila,Päijät-Häme
15363382.html,Mercedes-Benz,S,Sedan,Car,ZNR-510,2002,410186,Automatic,Diesel,Rear wheel,2200,0.0,,,,Seller,Rovaniemi,Lappi
15362830.html,Peugeot,308,Hatchback,Car,YHE-363,2008,246000,Manual,Diesel,Front wheel,1299,4.7,125,Jokiauto Oy,Ylöjärvi,Dealer,Ylöjärvi,Pirkanmaa
15374395.html,Ford,Focus,Hatchback,Car,YVL-889,2007,218540,Manual,Petrol,Front wheel,1930,0.0,,,,Seller,Lempäälä,Pirkanmaa
15363854.html,Toyota,Hiace,Other,Car,OIC-185,1998,313541,Manual,Diesel,Rear wheel,4000,0.0,,KAJ-services,Raahe,Dealer,Raahe,Pohjois-Pohjanmaa
15370950.html,Ford,Transit,Extension cabin,Light truck,SRG-762,2004,378000,Manual,Diesel,Rear wheel,2900,10.0,,,,Seller,Hämeenkyrö,Pirkanmaa
15368850.html,Chevrolet,Express 2500,Extension cabin,Light truck,JMT-19,1998,410000,Automatic,Diesel,Rear wheel,4300,0.0,,,,Seller,Vantaa,Uusimaa
15358545.html,Toyota,Corolla,Hatchback,Car,ZLG-290,2004,253000,Manual,Petrol,Front wheel,2490,6.7,159,Pirkanmaan Autocenter Oy,Pirkkala,Dealer,Pirkkala,Pirkanmaa
15362309.html,BMW,330,Sedan,Car,JJZ-587,2016,155000,Automatic,Petrol,Four wheel,26990,6.2,144,Vaihtoautomaa Keski-Suomi,Muurame,Dealer,Jyväskylä,Keski-Suomi
15363098.html,Suzuki,Vitara,Hatchback,Car,KNV-873,2016,170000,Automatic,Petrol,Four wheel,15990,5.5,128,Vaihtoautomaa Keski-Suomi,Muurame,Dealer,Jyväskylä,Keski-Suomi
15371166.html,Toyota,Corolla Verso,MPV,Car,TVY-437,2008,553664,Manual,Diesel,Front wheel,1100,0.0,167,PureBuild Oy,Iitti,Dealer,Iitti,Päijät-Häme
15363154.html,BMW,M2,Coupé,Car,BVR-960,2018,75000,Automatic,Petrol,Rear wheel,70990,9.8,223,Waloauto Airport,Vantaa,Dealer,Vantaa,Uusimaa
15359843.html,Mercedes-Benz,E,Sedan,Car,BJG-538,2004,505000,Automatic,Diesel,Rear wheel,2000,0.0,,,,Seller,Haapajärvi,Pohjois-Pohjanmaa
15367713.html,Toyota,RAV4,All-terrain SUV,Car,ZXI-726,2006,271000,Manual,Petrol,Four wheel,6200,8.5,,,,Seller,Loviisa,Uusimaa
15362618.html,Mercedes-Benz,C,Sedan,Car,KKF-690,2005,465000,Manual,Diesel,Rear wheel,1000,6.1,161,,,Seller,Pietarsaari,Pohjanmaa
15365867.html,BMW,315,Sedan,Car,MCC-26,1982,277000,Manual,Petrol,Rear wheel,8500,0.0,,,,Seller,Laukaa,Keski-Suomi
15366011.html,Volkswagen,Passat,Station Wagon,Car,VMY-202,2007,442190,Manual,Diesel,Front wheel,1400,5.5,,,,Seller,Kyyjärvi,Keski-Suomi
15372418.html,Nissan,Terrano Turbodiesel,All-terrain SUV,Van,JFO-968,2004,421000,Automatic,Diesel,Four wheel,1550,0.0,,,,Seller,Kuhmo,Kainuu
15359673.html,Volvo,V60,Station Wagon,Car,YXC-758,2020,116000,Automatic,Hybrid (petrol/electric),Four wheel,30990,2.4,48,Vaihtoautomaa Lempäälä,Lempäälä,Dealer,Lempäälä,Pirkanmaa
15363246.html,Dodge,Ram,Pickup,Light truck,KOC-1,2012,125000,Automatic,Diesel,Four wheel,54890,0.0,,Auto7,Tuusula,Dealer,Tuusula,Uusimaa
15358368.html,Toyota,Avensis,Sedan,Car,GEH-248,2000,443000,Manual,Petrol,Front wheel,1200,0.0,,,,Seller,Urjala,Pirkanmaa
15363206.html,Skoda,Enyaq,All-terrain SUV,Car,OZH-403,2021,107000,Automatic,Electric,Rear wheel,27900,0.0,,WS Motors,Aura,Dealer,Aura,Varsinais-Suomi
15360326.html,Honda,CR-V,All-terrain SUV,Car,SHI-289,2005,314000,Manual,Diesel,Four wheel,3500,7.0,177,,,Seller,Vesanto,Pohjois-Savo
15367527.html,BMW,X5,All-terrain SUV,Car,NLM-184,2018,157000,Automatic,Hybrid (petrol/electric),Four wheel,25990,0.0,78,Waloauto Airport,Vantaa,Dealer,Vantaa,Uusimaa
15361103.html,Ford,Focus,Station Wagon,Car,FJG-464,2009,356000,Manual,Petrol,Front wheel,1000,6.5,159,,,Seller,Kurikka,Etelä-Pohjanmaa
15374391.html,Seat,Ibiza,Hatchback,Car,TUY-133,2009,225000,Manual,Petrol,Front wheel,2300,0.0,149,,,Seller,Oulu,Pohjois-Pohjanmaa
15359109.html,Mercedes-Benz,S,Sedan,Car,LOI-667,2002,320000,Automatic,Petrol,Rear wheel,4000,0.0,,,,Seller,Jyväskylä,Keski-Suomi
15372542.html,Toyota,Aygo,Hatchback,Car,EMG-292,2007,148000,Manual,Petrol,Front wheel,2890,4.6,109,LappiCars Oy,Rovaniemi,Dealer,Rovaniemi,Lappi
15374599.html,Toyota,Corolla,Hatchback,Car,YEO-197,2002,324000,Manual,Petrol,Front wheel,1500,0.0,168,,,Seller,Järvenpää,Uusimaa
15358861.html,Ford,Fiesta,Hatchback,Car,BCZ-840,2008,291123,Manual,Petrol,Front wheel,1350,0.0,147,,,Seller,Riihimäki,Kanta-Häme
15372884.html,Citroen,DS4,Hatchback,Car,XLZ-156,2011,304000,Manual,Diesel,Front wheel,2300,5.0,122,,,Seller,Pyhäranta,Varsinais-Suomi
15360563.html,Hyundai,i30,Station Wagon,Car,XLY-428,2009,322000,Manual,Petrol,Front wheel,1290,6.3,150,,,Seller,Mikkeli,Etelä-Savo
15365326.html,Ford,Transit Custom,Short - High,Van,JLU-407,2013,243000,Manual,Diesel,Front wheel,5800,0.0,,,,Seller,Lohja,Uusimaa
15374237.html,Hyundai,i30,Hatchback,Car,TYZ-681,2015,121950,Manual,Petrol,Front wheel,8600,5.6,130,,,Seller,Tampere,Pirkanmaa
15360065.html,Nissan,Almera,Hatchback,Car,BNI-181,2006,289000,Manual,Petrol,Front wheel,1200,0.0,160,,,Seller,Kauniainen,Uusimaa
15372979.html,BMW,530,Station Wagon,Car,BRR-226,2012,358000,Automatic,Diesel,Rear wheel,9400,0.0,,TeeKoo Autotalot,Kangasala,Dealer,Kangasala,Pirkanmaa
15373759.html,Mazda,3,Sedan,Car,OKI-883,2007,151000,Manual,Petrol,Front wheel,3500,0.0,162,,,Seller,Hamina,Kymenlaakso
15361320.html,Citroen,Jumper,Other,Van,HZV-181,2004,183300,Manual,Diesel,Front wheel,1650,0.0,,,,Seller,Masku,Varsinais-Suomi
15358793.html,Hyundai,i20,Hatchback,Car,VVX-800,2011,74000,Manual,Petrol,Front wheel,5690,5.1,119,Lahden Autokauppa Oy,Lahti,Dealer,Lahti,Päijät-Häme
15368662.html,Volvo,S40,Sedan,Car,HPG-551,2007,329150,Manual,Petrol,Front wheel,1790,0.0,,,,Seller,Raahe,Pohjois-Pohjanmaa
15366479.html,Volkswagen,Golf,Station Wagon,Car,KAI-311,2008,404000,Manual,Diesel,Front wheel,1250,0.0,148,Tmi Hannu Sippola,Ylistaro,Dealer,Ylistaro,Etelä-Pohjanmaa
15373645.html,Peugeot,308,Station Wagon,Car,GLL-290,2008,230000,Manual,Petrol,Front wheel,1999,0.0,169,,,Seller,Pori,Satakunta
15367668.html,Ford,Transit,Long - Semihigh,Van,OXG-151,2004,321200,Manual,Diesel,Front wheel,2350,0.0,,,,Seller,Lohja,Uusimaa
15362689.html,Toyota,Corolla,Hatchback,Car,XHI-120,2006,240500,Manual,Petrol,Front wheel,3800,0.0,168,,,Seller,Lempäälä,Pirkanmaa
15360112.html,BMW,320,Sedan,Car,KXK-522,1997,340000,Manual,Petrol,Rear wheel,5500,8.0,,,,Seller,Vantaa,Uusimaa
15358776.html,Citroen,C3,Hatchback,Car,GMJ-610,2017,121455,Manual,Petrol,Front wheel,3999,0.0,109,Autokiillotus Vuorinen Hannu,Hämeenlinna,Dealer,Hämeenlinna,Kanta-Häme
15370071.html,Nissan,Qashqai,All-terrain SUV,Car,BTM-644,2016,141000,Manual,Petrol,Front wheel,9450,5.6,129,Vaihto-Ettan Oy,Tuusula,Dealer,Tuusula,Uusimaa
15375052.html,Toyota,Hilux,Pickup,Car,AYK-224,2000,300000,Manual,Diesel,Four wheel,4000,0.0,,,,Seller,Sievi,Pohjois-Pohjanmaa
15361197.html,Toyota,Corolla,Station Wagon,Car,TEF-923,2003,265000,Manual,Petrol,Front wheel,2100,0.0,,Jouni Liuski,Vantaa,Dealer,Vantaa,Uusimaa
15373521.html,Opel,Astra,Sedan,Car,BIG-793,1997,268949,Manual,Petrol,Front wheel,1000,8.0,,,,Seller,Raisio,Varsinais-Suomi
15360365.html,BMW,535,Station Wagon,Car,KMK-569,2007,426000,Automatic,Diesel,Rear wheel,3400,0.0,,,,Seller,Juuka,Pohjois-Karjala
15370033.html,Peugeot,Boxer,Long - High,Van,UEY-983,2006,227500,Manual,Diesel,Front wheel,2690,0.0,,,,Seller,Muhos,Pohjois-Pohjanmaa
15360310.html,Volkswagen,Transporter,Other,Van,VZE-215,2017,87175,Manual,Diesel,Front wheel,18000,0.0,162,,,Seller,Kokkola,Keski-Pohjanmaa
15360974.html,Audi,A3,Hatchback,Car,HXF-400,2005,299000,Manual,Petrol,Front wheel,1850,0.0,,,,Seller,Mustasaari,Pohjanmaa
15373731.html,Hyundai,H1 Van,Short - Low,Van,LMF-523,2002,399000,Manual,Diesel,Rear wheel,1200,0.0,,,,Seller,Pori,Satakunta
15360652.html,Mercedes-Benz,E,Station Wagon,Car,TTZ-257,2010,333000,Automatic,Diesel,Rear wheel,8500,0.0,159,,,Seller,Kiiminki,Pohjois-Pohjanmaa
15359166.html,Chevrolet,Epica,Sedan,Car,XOI-255,2007,267000,Automatic,Petrol,Front wheel,1800,0.0,215,,,Seller,Helsinki,Uusimaa
15360932.html,Audi,A4,Sedan,Car,OTA-507,2010,195000,Automatic,Petrol,Front wheel,7500,7.5,119,,,Seller,Lahti,Päijät-Häme
15359082.html,Fiat,Ducato,Long - High,Van,AJE-7,2024,7000,Manual,Diesel,Front wheel,39890,0.0,,Auto7,Tuusula,Dealer,Tuusula,Uusimaa
15365976.html,Volvo,740,Station Wagon,Car,FBL-620,1991,520000,Manual,Petrol,Rear wheel,2250,0.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15361990.html,Lexus,CT,Hatchback,Car,YKB-722,2011,167000,Automatic,Hybrid (petrol/electric),Front wheel,10470,4.1,94,KIESI Helsinki Konala,Helsinki,Dealer,Helsinki,Uusimaa
15363674.html,Ford,Mondeo,Station Wagon,Car,LRI-177,2008,227000,Manual,Petrol,Front wheel,3999,7.2,170,Niinivaaran Auto Oy,Joensuu,Dealer,Joensuu,Pohjois-Karjala
15361008.html,Ford,Focus,Station Wagon,Car,GIA-968,2008,455500,Manual,Diesel,Front wheel,1300,0.0,114,,,Seller,Kajaani,Kainuu
15359649.html,Toyota,Supra,Coupé,Car,ZCL-900,1988,310000,Automatic,Petrol,Rear wheel,3500,0.0,,,,Seller,Vantaa,Uusimaa
15358530.html,Volkswagen,Transporter,Long - Low,Van,UIS-770,2000,312000,Manual,Diesel,Front wheel,2500,0.0,,Samikafix Ky,Salo,Dealer,Salo,Varsinais-Suomi
15359226.html,Toyota,Avensis,Sedan,Car,LOL-484,2018,53000,Automatic,Petrol,Front wheel,24900,6.1,140,Auto-Kuopio Oy,Kuopio,Dealer,Kuopio,Pohjois-Savo
15366469.html,Opel,Vectra,Hatchback,Car,IAG-896,2003,308000,Manual,Petrol,Front wheel,1950,0.0,,,,Seller,Tarvasjoki,Varsinais-Suomi
15367352.html,Honda,Civic,Hatchback,Car,TMG-298,2004,183290,Manual,Petrol,Front wheel,2200,0.0,150,,,Seller,Helsinki,Uusimaa
15368377.html,Ford,Fiesta,Hatchback,Car,IKS-660,2012,155000,Manual,Petrol,Front wheel,3450,0.0,124,,,Seller,Kaarina,Varsinais-Suomi
15368571.html,Toyota,Yaris,Hatchback,Car,UUY-786,2006,204000,Manual,Petrol,Front wheel,2000,0.0,141,,,Seller,Liminka,Pohjois-Pohjanmaa
15364864.html,Renault,Kangoo,Station Wagon,Van,VZG-567,2017,144000,Manual,Diesel,Front wheel,7200,0.0,112,,,Seller,Somero,Varsinais-Suomi
15365895.html,Ford,Cortina,Sedan,Car,EY-749,1971,,Manual,Petrol,Rear wheel,3500,0.0,,,,Seller,Sysmä,Päijät-Häme
15362561.html,Toyota,Corolla,Hatchback,Car,XYF-507,2001,189000,Manual,Petrol,Front wheel,2160,0.0,162,Lahden Keskusauto,Lahti,Dealer,Lahti,Päijät-Häme
15358897.html,Citroen,C3,Hatchback,Car,CMG-711,2019,56000,Manual,Petrol,Front wheel,7990,0.0,110,MenoBil Oy,Raisio,Dealer,Raisio,Varsinais-Suomi
15370652.html,Mercedes-Benz,C,Station Wagon,Car,UVZ-226,2010,501000,Automatic,Diesel,Rear wheel,3650,0.0,,,,Seller,Tampere,Pirkanmaa
15367546.html,Volvo,S60,Sedan,Car,GIL-757,2009,186000,Automatic,Petrol,Front wheel,8490,9.5,226,Visa-Auto Oy,Raisio,Dealer,Raisio,Varsinais-Suomi
15371094.html,Opel,Astra,Hatchback,Car,TLG-313,2004,235000,Manual,Petrol,Front wheel,4500,7.7,185,Saka Finland Oy Kouvola,Kouvola,Dealer,Kouvola,Kymenlaakso
15374735.html,Toyota,Hilux,Pickup,Van,KIP-994,1998,440000,Manual,Diesel,Four wheel,3500,0.0,,,,Seller,Säkylä,Satakunta
15373260.html,Toyota,Hilux,Pickup,Van,CBY-250,1996,258188,Manual,Diesel,Four wheel,5600,0.0,,,,Seller,Janakkala,Kanta-Häme
15370877.html,Honda,Jazz,Hatchback,Car,UNZ-437,2007,121000,Manual,Petrol,Front wheel,3500,0.0,134,,,Seller,Turku,Varsinais-Suomi
15363912.html,Audi,Q7,Station Wagon,Car,NGZ-283,2006,492292,Automatic,Diesel,Four wheel,3450,0.0,282,,,Seller,Hamina,Kymenlaakso
15365116.html,Toyota,Corolla,Hatchback,Car,HYU-714,2001,244000,Manual,Petrol,Front wheel,2390,0.0,,MJT Palvelu,Raisio,Dealer,Raisio,Varsinais-Suomi
15359078.html,Fiat,Ducato,Long - High,Van,AJE-2,2024,1900,Manual,Diesel,Front wheel,39890,0.0,,Auto7,Tuusula,Dealer,Tuusula,Uusimaa
15376653.html,Volkswagen,Polo,Hatchback,Car,YVS-375,2011,251000,Automatic,Diesel,Front wheel,2000,0.0,112,,,Seller,Kangasala,Pirkanmaa
15375764.html,Skoda,Octavia,Sedan,Car,KMG-175,2007,326355,Automatic,Diesel,Front wheel,1200,0.0,,,,Seller,Huittinen,Satakunta
15362524.html,Opel,Insignia,Station Wagon,Car,FMO-809,2017,206000,Automatic,Diesel,Four wheel,11490,6.4,169,Vaihtoautomaa Vantaa,Vantaa,Dealer,Vantaa,Uusimaa
15375851.html,Mercedes-Benz,230,Station Wagon,Car,KHF-575,1988,536000,Automatic,Petrol,Rear wheel,1600,0.0,,,,Seller,Polvijärvi,Pohjois-Karjala
15369994.html,Ford,Fiesta Van,Other,Van,CKO-185,2011,223000,Manual,Diesel,Front wheel,2900,0.0,,,,Seller,Aura,Varsinais-Suomi
15363833.html,Volvo,V70,Station Wagon,Car,MUI-893,2007,377300,Automatic,Diesel,Four wheel,3750,0.0,,,,Seller,Hattula,Kanta-Häme
15363938.html,Mercedes-Benz,250,Sedan,Car,XVF-506,1993,500000,Manual,Diesel,Rear wheel,1700,0.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15361707.html,BMW,316,Coupé,Car,TXM-264,1985,241216,Manual,Petrol,Rear wheel,5490,0.0,,,,Seller,Valkeakoski,Pirkanmaa
15360637.html,Toyota,Auris,Station Wagon,Car,BUA-646,2017,179000,Automatic,Petrol,Front wheel,13800,0.0,83,,,Seller,Kirkkonummi,Uusimaa
15375251.html,Mercedes-Benz,190,Racing vehicle,Car,BEX-910,1987,,Manual,Petrol,Rear wheel,6500,0.0,,,,Seller,Keuruu,Keski-Suomi
15360854.html,Volkswagen,Transporter,Long - Low,Van,,2004,486645,Manual,Diesel,Front wheel,1500,0.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15374659.html,Volvo,740,Sedan,Car,KJT-808,1988,433000,Manual,Petrol,Rear wheel,3250,0.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15370479.html,Toyota,Avensis,Hatchback,Car,TNG-210,2004,298900,Manual,Petrol,Front wheel,1200,0.0,172,,,Seller,Kerava,Uusimaa
15367662.html,Ford,Focus,Hatchback,Car,ERH-613,2019,41500,Automatic,Petrol,Front wheel,19900,0.0,,,,Seller,Kokkola,Keski-Pohjanmaa
